# dish  y[m]        x[m]         el[m]
SKA017  -38950.279  3391461.352  1011.958
SKA026  -33343.855  3396957.960  1041.979
SKA031  -40385.292  3398076.473  1041.387
SKA060  -38817.944  3399175.422  1049.591
SKA105  -38950.385  3391461.352  1011.958
SKA107  -38072.604  3400268.016  1051.759
SKA110  -48949.453  3401682.909  1089.474
SKA111  -42369.680  3401595.131  1065.555
SKA115  -47292.420  3401912.877  1084.817
SKA116  -44076.105  3402462.887  1082.367
SKA118  -37790.466  3403578.310  1074.086
SKA119  -38018.070  3406490.330  1097.189
SKA121  -39497.922  3409093.177  1135.943
